Date,Sales
2017-12-31,3282.7961579999974
2018-01-01,1457.6757040000002
2018-01-02,790.8016200000001
2018-01-03,1084.463849
2018-01-04,680.6436850000001
2018-01-05,1401.45818
2018-01-06,1306.7150499999998
2018-01-07,1739.1057159999984
2018-01-08,1768.5639099999999
2018-01-09,3246.48639
2018-01-10,4032.923028000001
2018-01-11,3430.416110000001
2018-01-12,3318.708504000001
2018-01-13,1994.4964749999992
2018-01-14,1535.2447949999996
2018-01-15,2312.11549
2018-01-16,1038.3369139999998
2018-01-17,523.990744
2018-01-18,719.001894
2018-01-19,872.9955560000002
2018-01-20,1210.084684
2018-01-21,1379.1269960000009
2018-01-22,1042.0497159999998
2018-01-23,1541.8212299999996
2018-01-24,1186.4105500000003
2018-01-25,1217.2896320000002
2018-01-26,1258.8236449999997
2018-01-27,1265.7511119999997
2018-01-28,1472.6459550000002
2018-01-29,1794.8946660000004
